,Hybrid Com LCOH,Hybrid Com NG Price Change,Hybrid Com NG Payback [yrs],Hybrid Com Pro Price Change,Hybrid Com Pro Payback [yrs],Hybrid Ind LCOH,Hybrid Ind NG Price Change,Hybrid Ind NG Payback [yrs],Hybrid Ind Pro Price Change,Hybrid Ind Pro Payback [yrs],CSP Com LCOH,CSP Com NG Price Change,CSP Com NG Payback [yrs],CSP Com Pro Price Change,CSP Com Pro Payback [yrs],CSP Ind LCOH,CSP Ind NG Price Change,CSP Ind NG Payback [yrs],CSP Ind Pro Price Change,CSP Ind Pro Payback [yrs]
Alabama,5.554943174731865,0.4467278807842009,17.537246211456328,,,5.887713547259442,3.231868169785695,80.02064930265293,,,4.62851877791795,0.20545016431609825,15.238536296464023,,,4.62851877791795,2.3268060907351145,106.68999236287844,,
Alaska,7.618993171995899,1.7893993109770772,35.46601789484253,,,7.820735210340743,2.34325180199753,46.47264027766215,,,6.479926289085131,1.3723740811833924,44.979468421005635,,,6.479926289085131,1.7700752755508706,63.30290956037672,,
Arizona,3.0942841318689833,-0.1382576434683245,10.261173927428374,,,3.3806053065645862,0.46221217595506275,17.782638667673034,,,2.7999681496046867,-0.22022314415044114,8.7890176613034,,,2.7999681496046867,0.21106936461590778,15.334177906669787,,
Arkansas,5.665259840338328,0.9707787925188032,25.384781359312395,,,5.810153606709711,1.4657848953277415,34.784950790133344,,,4.5817660629894865,0.5938628842631873,22.662381800276677,,,4.5817660629894865,0.9444665867349739,31.156173734501373,,
California,1.286655402072834,-0.5306986321789753,16.21590374146845,,,1.5334600950307875,-0.2984476715584669,22.03506656211879,,,1.2427120807171688,-0.5467267472326167,17.125288524176497,,,1.2427120807171688,-0.4314638140015972,23.823841675198437,,
Colorado,4.7168319166571955,0.8517204366467611,22.852879191686952,,,4.888763275796443,1.497656654335191,33.74436622109274,,,3.96498986220244,0.5565644247380294,21.870035964108705,,,3.96498986220244,1.0257031799291076,33.44118348008602,,
Connecticut,6.078474543448314,1.0727254120740344,25.084419732968318,,,6.287842569496913,1.9038458306956902,38.10485543809936,,,5.2743586073948725,0.7985264295829203,27.371816463128035,,,5.2743586073948725,1.4357995739233251,47.47161963645855,,
Delaware,6.508603611070369,0.7838144026832488,22.454602054403104,1.4229780400083276,32.30733018590729,6.645178118128561,0.9275297586166714,25.054428610882646,1.4738210550698239,34.28124711578423,5.29900514294345,0.45229948829540667,19.751431135890503,0.9726770690728354,31.934285982335226,5.29900514294345,0.5370528708962267,21.46297242132925,0.9726770690728354,31.934285982335226
District of Columbia,6.286783102592671,0.6654303598780011,20.489298594487465,,,6.510709832439353,,,,,5.225747007326719,0.3843515160327954,18.442324406332688,,,5.225747007326719,,,,
Florida,5.712156095979652,0.5339918404121824,18.847756955953198,1.4701215550182278,32.79617127893913,5.800894861987007,1.6456332632441437,36.68054415736986,1.5084950754538407,34.27107536894177,4.676235466350094,0.2557967479697973,16.106565807100722,1.022155877340581,33.33851842986995,4.676235466350094,1.1327061411866544,36.671019581848924,1.022155877340581,33.33851842986995
Georgia,6.289118713702759,1.1495528418755885,27.95782361562957,1.7196189032228149,37.29805493727245,6.567813900694605,3.3575681723269364,88.61031748255922,1.8401357408409105,43.390176718667604,5.119580589570646,0.7498173442878978,26.191882610782404,1.2138726873819008,39.30590076635708,5.119580589570646,2.39670425655886,114.74218686257011,1.2138726873819008,39.30590076635708
Hawaii,2.2527803565932527,-0.7880528069424175,3.456759475509076,,,2.521076469443612,-0.6114983642984435,5.531256515614129,,,3.0239656015730616,-0.7154977762122706,2.8475724756547955,,,3.0239656015730616,-0.5340024006587745,4.863752963800476,,
Idaho,7.281578779063282,1.8133864898107488,41.67840556992606,,,7.364771372195176,2.7045574625107145,65.89537205319435,,,5.741706838429866,1.2184255554769416,39.458789672353205,,,5.741706838429866,1.8881389307152634,70.28489856477051,,
Illinois,6.2562293659670605,1.516695978489418,34.32307027987371,2.1025189020416857,45.07243777352211,6.419148194183687,2.4414042975996435,56.44144499122837,2.183311774948518,50.109876508496576,5.0511674859238225,1.031935236846289,33.62220929825228,1.5049181680752899,50.35092832758209,5.0511674859238225,1.7080087525794243,59.963182163798116,1.5049181680752899,50.35092832758209
Indiana,6.541187376713693,1.5206790635541645,34.19883574766644,2.243832073748422,47.44380828952007,6.743622686667971,2.1094370454397766,48.58062306395489,2.3442215158284005,54.24217258303805,5.29900514294345,1.0419979664600327,33.916293819161695,1.627823031462162,55.94366971766685,5.29900514294345,1.4433340447737184,47.776948393851825,1.627823031462162,55.94366971766685
Iowa,5.927831810395013,1.6744109228039756,36.80987852149977,1.9396636798388358,41.57252493629211,6.137199836443613,2.4086464922929505,56.56202320509213,2.043491116510594,47.52564368239471,4.805030087245331,1.1678457420461676,37.79106713865539,1.3828564776817907,45.38196672277578,4.805030087245331,1.6687494930492595,57.955698853627005,1.3828564776817907,45.38196672277578
Kansas,4.348522146035533,0.4376848205045618,17.280147684312237,1.1564701939179434,26.64676220768267,4.521146776784214,2.127003525137092,43.87381777418101,1.2420762592532673,29.14869428139096,3.705840198006203,0.22520479854205677,15.576135097704915,0.8377585906304005,28.351307697301795,3.705840198006203,1.5631053214783115,52.91878858515793,0.8377585906304005,28.351307697301795
Kentucky,6.497914102075703,1.1777676085716642,28.659973235924127,2.2223724780935794,47.35809966548544,6.772449659410953,3.463046333922668,96.2293057887221,2.35851706392807,57.144115348768906,5.2499402805087865,0.7595107768776829,26.423589189216607,1.6034913367264,54.78458199758325,5.2499402805087865,2.4597122017257806,122.77400858132403,1.6034913367264,54.78458199758325
Louisiana,5.654324358288447,1.0547207383664368,26.569598679637085,,,5.879637631353994,4.209165889691766,128.08309445670207,,,4.591040893076509,0.6683349478996132,24.302611102732673,,,4.591040893076509,3.067511489289994,281.5126587104235,,
Maine,6.997629235852321,0.4492165854524579,17.637583571578027,,,7.234728126278219,1.3705264261466337,32.428730123380234,,,5.7709267205592765,0.1951651673706604,15.064273246354057,,,5.7709267205592765,0.890898186588665,29.72153582154384,,
