,Air-Fused Quartz,Fused Quartz-Silicone,Silicone-Solar cell,Solar cell-Silicone,Silicone-Sapphire,Sapphire-Water,Water-Fused Quartz,Fused Quartz-Air
In-band T,0.9651,0.9587,0.8697,0,0,0,0,0
Out-of-band T,0.9665,0.9633,0.825,0.6769,0.6743,0.6637,0.6283,0.6099
Total T,0.9656,0.9602,0.8548,0.2263,0.2254,0.2219,0.21,0.2039
In-band R,0.0349,0.0351,0.1232,0.1232,0.1232,0.1232,0.1232,0.1232
Out-of-band R,0.0335,0.0337,0.1694,0.1998,0.2003,0.2099,0.2108,0.2252
Total R,0.0344,0.0346,0.1386,0.1488,0.149,0.1522,0.1525,0.1573
In-band A,0,0.0062,0.0071,0.8768,0.8768,0.8768,0.8768,0.8768
Out-of-band A,0,0.003,0.0055,0.1233,0.1253,0.1263,0.1609,0.1648
Total A,0,0.0051,0.0066,0.6249,0.6256,0.626,0.6375,0.6388
Inband A,0,0,0.0009,0.8697,0,0,0,0
outofband A,0,0,0.0025,0.1178,0.002,0.001,0.0346,0.0039
total A,0,0,0.0015,0.6183,0.0007,0.0004,0.0115,0.0013
